127.0.0.1,D,A,D
127.0.0.1,A,B,D
127.0.0.1,A,B,D
127.0.0.1,D,A,A
127.0.0.1,A,A,B
127.0.0.1,C,A,A
127.0.0.1,D,A,B
127.0.0.1,C,A,G
127.0.0.1,A,C,E
127.0.0.1,A,A,A
127.0.0.1,C,A,A
127.0.0.1,B,A,A
127.0.0.1,A,A,D
127.0.0.1,A,A,G
127.0.0.1,A,D,C
127.0.0.1,A,E,A
127.0.0.1,A,A,G
127.0.0.1,B,A,D
127.0.0.1,B,A,B
127.0.0.1,A,C,A
127.0.0.1,A,A,G
127.0.0.1,A,A,C
127.0.0.1,C,A,A
127.0.0.1,B,A,A
127.0.0.1,C,D,D
127.0.0.1,A,A,A
127.0.0.1,B,A,D
127.0.0.1,A,C,G
127.0.0.1,A,A,A
127.0.0.1,A,A,B
127.0.0.1,A,A,B
127.0.0.1,B,A,A
127.0.0.1,C,A,A
127.0.0.1,A,A,C
127.0.0.1,A,A,A
